part_id,supplier_candidate,required_spec,search_terms,lead_time_days_est,notes
BAR-STOCK,Bell Forest Products,"African Padauk 4/4 quartersawn KD to 6-8 percent MC surfaced 4 sides","padauk 4/4 quartersawn KD S4S",7,"primary; ask for low-shake low-pin selection"
BAR-STOCK,West Penn Hardwoods,"African Padauk 4/4 quartersawn KD","padauk 4/4 quartersawn",10,"backup if Bell is OOS"
BAR-STOCK,Cook Woods,"African Padauk billet selection","padauk billet quartersawn",14,"third option; pricier but selectable boards"
FRAME-RAIL,Bell Forest Products,"Hard maple 8/4 KD straight grain","hard maple 8/4 straight grain",7,"two boards 30in min length"
FRAME-LEG,Bell Forest Products,"Hard maple 8/4 KD","hard maple 8/4",7,"four leg blanks"
FRAME-GUSSET,Lee Valley,"Baltic birch plywood 1/2in B/BB grade 12x12","baltic birch 1/2 plywood 12x12",5,"or substitute Home Depot if local"
CORD-NODE,Lee Valley,"Type II 1/8in paracord 100ft","paracord 1/8 100ft",5,"black or natural"
CORD-WASHER,Lee Valley,"Brass finish washer fits 1/8in cord","brass finish washer 1/8 cord",5,"or McMaster-Carr 91068A350"
SCREW-FRAME,Lee Valley,"#10 x 2in steel wood screw zinc","wood screw #10 2in zinc",5,"50-pack minimum"
GLUE-FRAME,Lee Valley,"Titebond III 16oz","titebond III 16oz",5,"waterproof PVA, longer open time"
FINISH-OIL,Lee Valley,"Pure tung oil food-safe 16oz","pure tung oil 16oz",5,"food-safe so the kid players are fine"
FINISH-WAX,Lee Valley,"Beeswax paste furniture finish 8oz","beeswax furniture paste 8oz",5,"top coat over tung"
MALLET-HRD,Innovative Percussion,"Hard rubber xylophone mallet IP240 or equivalent","IP240 hard rubber xylophone mallet",7,"alt: Encore EM-1, Vic Firth M134"
MALLET-MED,Innovative Percussion,"Yarn-wrapped medium marimba mallet","yarn medium marimba mallet pair",7,"alt: Encore EX-1"
TUNER-CHROMA,Sweetwater,"Korg OT-120 orchestral tuner","Korg OT-120 orchestral tuner",3,"or Peterson StroboPlus HD if available"
HYGRO-SHOP,Lee Valley,"Digital hygrometer thermometer combo","digital hygrometer thermometer shop",5,"target accuracy +/-3% RH"
MOIST-METER,Lee Valley,"Pin-style moisture meter wood","pin moisture meter wood",5,"or General MM50"
SANDPAPER-KIT,Lee Valley,"Aluminum oxide sanding sheet variety 80-220 grit","aluminum oxide sandpaper variety pack",5,"hand-sand bar surfaces post-plane"
DRILL-BIT-NODE,Lee Valley,"Brad point drill bit 1/8in","brad point bit 1/8 inch",5,"two for spares"
RESONATOR-TUBE,McMaster-Carr,"6061 aluminum tube 1.5in OD 0.065in wall 36in","aluminum tube 1.5 OD 0.065 wall",5,"deferred; quote at v2 build time"
